Train,Gilroy,San Martin,Morgan Hill,Blossom Hill,Capitol,Tamien,San Jose,College Park,Santa Clara,Lawrence,Sunnyvale,Mountain View,San Antonio,California Ave,Palo Alto,Menlo Park,Redwood City,San Carlos,Belmont,Hillsdale,Hayward Park,San Mateo,Burlingame,Millbrae,San Bruno,So. San Francisco,Bayshore,22nd Street,San Francisco
101,,,,,,,4:30,,4:35,4:40,4:44,4:49,4:53,4:57,5:01,5:04,5:09,5:13,5:16,5:19,5:22,5:25,5:28,5:33,5:37,5:41,5:47,5:52,6:01
103,,,,,,4:58,5:05,,5:10,5:15,5:19,5:24,5:28,5:32,5:36,5:39,5:44,5:48,5:51,5:54,5:57,6:00,6:03,6:08,6:12,6:16,6:22,6:27,6:36
305,,,,,,,5:45,,,,,5:57,,,6:05,,,,,6:16,,,,6:24,,,,,6:42
207,,,,,,5:50,5:57,,6:02,6:12,6:18,6:23,6:27,6:31,6:36,6:39,6:45,,,6:51,,,,6:59,,7:05,,,7:19
309,,,,,,5:56,6:03,,,,6:13,,,,6:23,,6:30,,,,,6:39,,6:45,,,,,7:02
211,,,,,,,6:20,,6:25,,6:32,6:37,,,,6:45,6:51,6:55,6:58,7:02,7:05,7:08,7:11,7:17,7:21,7:25,7:33,7:40,7:48
313,,,,,,,6:45,,,,,6:57,,,7:05,,,,,7:16,,,,7:24,,,,,7:42
215,,,,,,,6:50,,,,7:00,7:05,,7:11,7:16,,,7:24,,7:28,,7:32,7:35,,7:42,,,,7:57
217,6:07,6:16,6:22,6:35,6:41,6:49,6:57,,7:02,7:12,7:18,7:23,7:27,7:31,7:36,7:39,7:45,,,7:51,,,,7:59,,8:05,,,8:19
319,,,,,,6:56,7:03,,,,7:13,,,,7:23,,7:30,,,,,7:39,,7:45,,,,,8:02
221,6:28,6:37,6:43,6:56,7:02,7:10,7:18,,7:23,7:28,7:32,7:37,,,,7:45,7:51,7:55,7:58,8:02,8:05,8:08,8:11,8:17,8:21,8:25,8:33,8:40,8:48
323,,,,,,,7:45,,,,,7:57,,,8:05,,,,,8:16,,,,8:24,,,,,8:42
225,,,,,,,7:50,,,,8:00,8:05,,8:11,8:16,,,8:24,,8:28,,8:32,8:35,,8:42,,,,8:57
227,7:05,7:14,7:20,7:33,7:39,7:47,7:55,7:58,8:02,8:12,8:18,8:23,8:27,8:31,8:36,8:39,8:45,,,8:51,,,,8:59,,9:05,,,9:19
329,,,,,,7:56,8:03,,,,8:13,,,,8:23,,8:30,,,,,8:39,,8:45,,,,,9:02
231,,,,,,,8:20,,8:25,,8:32,8:37,,,,8:45,8:51,8:55,8:58,9:02,9:05,9:08,9:11,9:17,9:21,9:25,9:31,9:37,9:45
233,,,,,,8:33,8:40,,8:45,8:50,8:54,8:59,9:03,9:07,9:11,9:14,9:19,9:23,9:26,9:29,,9:33,9:36,9:41,9:45,,,,10:02
135,,,,,,,9:10,,9:15,9:20,9:24,9:29,9:33,9:37,9:41,9:44,9:49,9:53,9:56,9:59,10:02,10:05,10:08,10:13,10:17,10:21,10:27,10:32,10:41
237,,,,,,9:33,9:40,,9:45,9:50,9:54,9:59,10:03,10:07,10:11,10:14,10:19,10:23,10:26,10:29,,10:33,10:36,10:41,10:45,,,,11:02
139,,,,,,,10:10,,10:15,10:20,10:24,10:29,10:33,10:37,10:41,10:44,10:49,10:53,10:56,10:59,11:02,11:05,11:08,11:13,11:17,11:21,11:27,11:32,11:41
143,,,,,,,11:10,,11:15,11:20,11:24,11:29,11:33,11:37,11:41,11:44,11:49,11:53,11:56,11:59,12:02,12:05,12:08,12:13,12:17,12:21,12:27,12:32,12:41
147,,,,,,,12:10,,12:15,12:20,12:24,12:29,12:33,12:37,12:41,12:44,12:49,12:53,12:56,12:59,13:02,13:05,13:08,13:13,13:17,13:21,13:27,13:32,13:41
151,,,,,,,13:10,,13:15,13:20,13:24,13:29,13:33,13:37,13:41,13:44,13:49,13:53,13:56,13:59,14:02,14:05,14:08,14:13,14:17,14:21,14:27,14:32,14:41
155,,,,,,,14:10,,14:15,14:20,14:24,14:29,14:33,14:37,14:41,14:44,14:49,14:53,14:56,14:59,15:02,15:05,15:08,15:13,15:17,15:21,15:27,15:32,15:41
257,,,,,,14:33,14:40,,14:45,14:50,14:54,14:59,15:03,15:07,15:11,15:14,15:19,15:23,15:26,15:29,,15:33,15:36,15:41,15:45,,,,16:02
159,,,,,,,15:05,15:08,15:12,15:17,15:21,15:26,15:30,15:34,15:38,15:41,15:46,15:50,15:53,15:56,15:59,16:02,16:05,16:10,16:14,16:18,16:24,16:29,16:38
261,,,,,,15:37,15:44,,15:49,15:54,15:58,16:03,16:07,16:11,16:16,16:19,16:25,16:29,,,,16:36,,16:43,,,,16:55,17:03
263,,,,,,15:58,16:05,,16:10,,,,,,16:24,,16:31,16:35,16:38,16:42,16:45,16:48,16:51,16:57,17:01,17:05,17:13,17:21,17:29
365,,,,,,,16:23,,,,,16:35,,,16:43,16:46,16:52,,,,,,,17:05,,,,17:17,17:24
267,,,,,,,16:31,,,16:39,,16:46,,,16:54,16:57,,17:04,,17:08,,17:12,17:15,,17:22,,,,17:39
269,,,,,,16:32,16:39,,16:44,16:52,16:58,17:03,17:07,17:11,17:16,17:19,17:25,17:29,,,,17:36,,17:43,,,,17:55,18:02
371,,,,,,,16:45,,,,,16:58,,,17:06,,,,,17:17,,,,17:25,,,,17:37,17:44
273,,,,,,16:58,17:05,,17:10,,,,,,17:24,,17:31,17:35,17:38,17:42,17:45,17:48,17:51,17:57,18:01,18:05,18:13,18:21,18:29
375,,,,,,,17:23,,,,,17:35,,,17:43,17:46,17:52,,,,,,,18:05,,,,18:17,18:24
277,,,,,,,17:31,,,17:39,,17:46,,,17:54,17:57,,18:04,,18:08,,18:12,18:15,,18:22,,,,18:39
279,,,,,,17:32,17:39,,17:44,17:52,17:58,18:03,18:07,18:11,18:16,18:19,18:25,18:29,,,,18:36,,18:43,,,,18:55,19:02
381,,,,,,,17:45,,,,,17:58,,,18:06,,,,,18:17,,,,18:25,,,,18:37,18:44
283,,,,,,17:58,18:05,,18:10,,,,,,18:24,,18:31,18:35,18:38,18:42,18:45,18:48,18:51,18:57,19:01,19:05,19:13,19:21,19:29
385,,,,,,,18:23,,,,,18:35,,,18:43,18:46,18:52,,,,,,,19:05,,,,19:17,19:24
287,,,,,,18:24,18:31,,,18:39,,18:46,,,18:54,18:57,,19:04,,19:08,,19:12,19:15,,19:22,,,,19:39
289,,,,,,,18:45,,,18:53,,19:00,,19:06,19:10,19:13,19:19,19:23,,19:28,,19:32,19:35,19:41,,,,19:53,20:00
191,,,,,,,18:50,,18:55,19:00,19:04,19:09,19:13,19:17,19:21,19:24,19:29,19:33,19:36,19:39,19:42,19:45,19:48,19:53,19:57,20:01,20:07,20:12,20:21
193,,,,,,,19:30,,19:35,19:40,19:44,19:49,19:53,19:57,20:01,20:04,20:09,20:13,20:16,20:19,20:22,20:25,20:28,20:33,20:37,20:41,20:47,20:52,21:01
195,,,,,,20:23,20:30,,20:35,20:40,20:44,20:49,20:53,20:57,21:01,21:04,21:09,21:13,21:16,21:19,21:22,21:25,21:28,21:33,21:37,21:41,21:47,21:52,22:01
197,,,,,,21:23,21:30,,21:35,21:40,21:44,21:49,21:53,21:57,22:01,22:04,22:09,22:13,22:16,22:19,22:22,22:25,22:28,22:33,22:37,22:41,22:47,22:52,23:01
199,,,,,,,22:30,,22:35,22:40,22:44,22:49,22:53,22:57,23:01,23:04,23:09,23:13,23:16,23:19,23:22,23:25,23:28,23:33,23:37,23:41,23:47,23:52,24:01
