Train,Gilroy,San Martin,Morgan Hill,Blossom Hill,Capitol,Tamien,San Jose,College Park,Santa Clara,Lawrence,Sunnyvale,Mountain View,San Antonio,California Ave,Palo Alto,Menlo Park,Redwood City,San Carlos,Belmont,Hillsdale,Hayward Park,San Mateo,Burlingame,Millbrae,San Bruno,So. San Francisco,Bayshore,22nd Street,San Francisco
101,        ,          ,           ,            ,       ,      ,4:30    ,-           ,4:35       ,4:40    ,4:44     ,4:49         ,4:53       ,4:57          ,5:01     ,5:04      ,5:09        ,5:13      ,5:16   ,5:19     ,5:22        ,5:25     ,5:28      ,5:33    ,5:37     ,5:41             ,5:47    ,5:52       ,6:01         
103,        ,          ,           ,            ,       ,4:58  ,5:05    ,-           ,5:10       ,5:15    ,5:19     ,5:24         ,5:28       ,5:32          ,5:36     ,5:39      ,5:44        ,5:48      ,5:51   ,5:54     ,5:57        ,6:00     ,6:03      ,6:08    ,6:12     ,6:16             ,6:22    ,6:27       ,6:36         
305,        ,          ,           ,            ,       ,      ,5:45    ,-           ,-          ,-       ,-        ,5:57         ,-          ,-             ,6:05     ,-         ,-           ,-         ,-      ,6:16     ,-           ,-        ,-         ,6:24    ,-        ,-                ,-       ,-          ,6:42         
207,        ,          ,           ,            ,       ,5:50  ,5:57    ,-           ,6:02       ,6:12    ,6:18     ,6:23         ,6:27       ,6:31          ,6:36     ,6:39      ,6:45        ,-         ,-      ,6:51     ,-           ,-        ,-         ,6:59    ,-        ,7:05             ,-       ,-          ,7:19         
309,        ,          ,           ,            ,       ,5:56  ,6:03    ,-           ,-          ,-       ,6:13     ,-            ,-          ,-             ,6:23     ,-         ,6:30        ,-         ,-      ,-        ,-           ,6:39     ,-         ,6:45    ,-        ,-                ,-       ,-          ,7:02         
211,        ,          ,           ,            ,       ,      ,6:20    ,-           ,6:25       ,-       ,6:32     ,6:37         ,-          ,-             ,-        ,6:45      ,6:51        ,6:55      ,6:58   ,7:02     ,7:05        ,7:08     ,7:11      ,7:17    ,7:21     ,7:25             ,7:33*   ,7:40*      ,7:48         
313,        ,          ,           ,            ,       ,      ,6:45    ,-           ,-          ,-       ,-        ,6:57         ,-          ,-             ,7:05     ,-         ,-           ,-         ,-      ,7:16     ,-           ,-        ,-         ,7:24    ,-        ,-                ,-       ,-          ,7:42         
215,        ,          ,           ,            ,       ,      ,6:50    ,-           ,-          ,-       ,7:00     ,7:05         ,-          ,7:11          ,7:16     ,-         ,-           ,7:24      ,-      ,7:28     ,-           ,7:32     ,7:35      ,-       ,7:42     ,-                ,-       ,-          ,7:57         
217,  6:07  ,6:16      ,6:22       ,6:35        ,6:41   ,6:49  ,6:57    ,-           ,7:02       ,7:12    ,7:18     ,7:23         ,7:27       ,7:31          ,7:36     ,7:39      ,7:45        ,-         ,-      ,7:51     ,-           ,-        ,-         ,7:59    ,-        ,8:05             ,-       ,-          ,8:19         
319,        ,          ,           ,            ,       ,6:56  ,7:03    ,-           ,-          ,-       ,7:13     ,-            ,-          ,-             ,7:23     ,-         ,7:30        ,-         ,-      ,-        ,-           ,7:39     ,-         ,7:45    ,-        ,-                ,-       ,-          ,8:02         
221,  6:28  ,6:37      ,6:43       ,6:56        ,7:02   ,7:10  ,7:18    ,-           ,7:23       ,7:28    ,7:32     ,7:37         ,-          ,-             ,-        ,7:45      ,7:51        ,7:55      ,7:58   ,8:02     ,8:05        ,8:08     ,8:11      ,8:17    ,8:21     ,8:25             ,8:33*   ,8:40*      ,8:48         
323,        ,          ,           ,            ,       ,      ,7:45    ,-           ,-          ,-       ,-        ,7:57         ,-          ,-             ,8:05     ,-         ,-           ,-         ,-      ,8:16     ,-           ,-        ,-         ,8:24    ,-        ,-                ,-       ,-          ,8:42         
225,        ,          ,           ,            ,       ,      ,7:50    ,-           ,-          ,-       ,8:00     ,8:05         ,-          ,8:11          ,8:16     ,-         ,-           ,8:24      ,-      ,8:28     ,-           ,8:32     ,8:35      ,-       ,8:42     ,-                ,-       ,-          ,8:57         
227,  7:05  ,7:14      ,7:20       ,7:33        ,7:39   ,7:47  ,7:55    ,7:58        ,8:02       ,8:12    ,8:18     ,8:23         ,8:27       ,8:31          ,8:36     ,8:39      ,8:45        ,-         ,-      ,8:51     ,-           ,-        ,-         ,8:59    ,-        ,9:05             ,-       ,-          ,9:19         
329,        ,          ,           ,            ,       ,7:56  ,8:03    ,-           ,-          ,-       ,8:13     ,-            ,-          ,-             ,8:23     ,-         ,8:30        ,-         ,-      ,-        ,-           ,8:39     ,-         ,8:45    ,-        ,-                ,-       ,-          ,9:02         
231,        ,          ,           ,            ,       ,      ,8:20    ,-           ,8:25       ,-       ,8:32     ,8:37         ,-          ,-             ,-        ,8:45      ,8:51        ,8:55      ,8:58   ,9:02     ,9:05        ,9:08     ,9:11      ,9:17    ,9:21     ,9:25             ,9:31    ,9:37       ,9:45         
233,        ,          ,           ,            ,       ,8:33  ,8:40    ,-           ,8:45       ,8:50    ,8:54     ,8:59         ,9:03       ,9:07          ,9:11     ,9:14      ,9:19        ,9:23      ,9:26   ,9:29     ,-           ,9:33     ,9:36      ,9:41    ,9:45     ,-                ,-       ,-          ,10:02        
135,        ,          ,           ,            ,       ,      ,9:10    ,-           ,9:15       ,9:20    ,9:24     ,9:29         ,9:33       ,9:37          ,9:41     ,9:44      ,9:49        ,9:53      ,9:56   ,9:59     ,10:02       ,10:05    ,10:08     ,10:13   ,10:17    ,10:21            ,10:27   ,10:32      ,10:41        
237,        ,          ,           ,            ,       ,9:33  ,9:40    ,-           ,9:45       ,9:50    ,9:54     ,9:59         ,10:03      ,10:07         ,10:11    ,10:14     ,10:19       ,10:23     ,10:26  ,10:29    ,-           ,10:33    ,10:36     ,10:41   ,10:45    ,-                ,-       ,-          ,11:02        
139,        ,          ,           ,            ,       ,      ,10:10   ,-           ,10:15      ,10:20   ,10:24    ,10:29        ,10:33      ,10:37         ,10:41    ,10:44     ,10:49       ,10:53     ,10:56  ,10:59    ,11:02       ,11:05    ,11:08     ,11:13   ,11:17    ,11:21            ,11:27   ,11:32      ,11:41        
143,        ,          ,           ,            ,       ,      ,11:10   ,-           ,11:15      ,11:20   ,11:24    ,11:29        ,11:33      ,11:37         ,11:41    ,11:44     ,11:49       ,11:53     ,11:56  ,11:59    ,12:02       ,12:05    ,12:08     ,12:13   ,12:17    ,12:21            ,12:27   ,12:32      ,12:41        
147,        ,          ,           ,            ,       ,      ,12:10   ,-           ,12:15      ,12:20   ,12:24    ,12:29        ,12:33      ,12:37         ,12:41    ,12:44     ,12:49       ,12:53     ,12:56  ,12:59    ,1:02        ,1:05     ,1:08      ,1:13    ,1:17     ,1:21             ,1:27    ,1:32       ,1:41         
151,        ,          ,           ,            ,       ,      ,1:10    ,-           ,1:15       ,1:20    ,1:24     ,1:29         ,1:33       ,1:37          ,1:41     ,1:44      ,1:49        ,1:53      ,1:56   ,1:59     ,2:02        ,2:05     ,2:08      ,2:13    ,2:17     ,2:21             ,2:27    ,2:32       ,2:41         
155,        ,          ,           ,            ,       ,      ,2:10    ,-           ,2:15       ,2:20    ,2:24     ,2:29         ,2:33       ,2:37          ,2:41     ,2:44      ,2:49        ,2:53      ,2:56   ,2:59     ,3:02        ,3:05     ,3:08      ,3:13    ,3:17     ,3:21             ,3:27    ,3:32       ,3:41         
257,        ,          ,           ,            ,       ,2:33  ,2:40    ,-           ,2:45       ,2:50    ,2:54     ,2:59         ,3:03       ,3:07          ,3:11     ,3:14      ,3:19        ,3:23      ,3:26   ,3:29     ,-           ,3:33     ,3:36      ,3:41    ,3:45     ,-                ,-       ,-          ,4:02         
159,        ,          ,           ,            ,       ,      ,3:05    ,3:08        ,3:12       ,3:17    ,3:21     ,3:26         ,3:30       ,3:34          ,3:38     ,3:41      ,3:46        ,3:50      ,3:53   ,3:56     ,3:59        ,4:02     ,4:05      ,4:10    ,4:14     ,4:18             ,4:24    ,4:29       ,4:38         
261,        ,          ,           ,            ,       ,3:37  ,3:44    ,-           ,3:49       ,3:54    ,3:58     ,4:03         ,4:07       ,4:11          ,4:16     ,4:19      ,4:25        ,4:29      ,-      ,-        ,-           ,4:36     ,-         ,4:43    ,-        ,-                ,-       ,4:55       ,5:03         
263,        ,          ,           ,            ,       ,3:58  ,4:05    ,-           ,4:10       ,-       ,-        ,-            ,-          ,-             ,4:24     ,-         ,4:31        ,4:35      ,4:38   ,4:42     ,4:45        ,4:48     ,4:51      ,4:57    ,5:01     ,5:05             ,5:13*   ,5:21*      ,5:29         
